Video,Video title,Video publish time,Comments added,Subscribers gained,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
aar8VW6RGug,PAGAS TU O PAGO YO? Primeras Citas ft. @foodandula x iBurger | Lo Que Nadie Te Dijo #22,"Mar 4, 2020",2,0,767,277.154,0,14748,3.65
dRNu6AYLg3A,¡NUESTROS SUEÑOS FRUSTRADOS!,"Feb 19, 2022",2,0,996,32.012,0,15201,5.02
eEB9OBgIEGU,¡CONVERSACIONES INCÓMODAS CON EXTRAÑOS!,"Apr 22, 2021",2,6,1668,265.3272,6,30044,4.08
g2XGxgk7gUQ,OTRA NOCHE EN MIAMI | Lo Que Nadie Te Dijo #2,"Oct 1, 2019",2,1,546,99.504,1,9850,3.99
l3ZMFhNWEpY,HAZ QUE TE CONTRATEN! | Lo Que Nadie Te Dijo #3,"Oct 8, 2019",2,2,402,92.9278,2,9455,3.26
onCmVjKeJhc,¡NO ME METAS EN TUS PEOS!,"Sep 28, 2020",2,4,1234,300.411,2,25195,3.31
pASnrQqh9OU,"EL MANUAL DEL ""HOMBRE""","Mar 26, 2022",2,1,1061,27.552,0,13838,5.86
pFjZPamX2ZI,¡LA MET GALA Y UN MINI DE TODITO!,,2,0,104,29.6594,0,215,40.47
qSKjFLA8bnY,¡LA GENTE ABUSADORA CON EL PODER!,"Apr 12, 2021",2,3,1128,295.7674,3,25995,2.84
tddUSyqlids,LA METAMORFOSIS CHISMOTEQUERA | QUICKIE TIME,,2,0,76,4.3787,0,102,54.9
ugxCoHWwoKw,LA SEMANA DE CUMPLE DE VICKY,,2,0,46,2.98,0,38,65.79
ulklNBU4FXw,"¡PREGUNTAS DE CULTURA GENERAL, QUE PICAN! 😂🔥","Mar 25, 2021",2,2,877,120.5206,1,16849,4.03
 -WEy3fKaE3w,¿CONCIERTOS O DISCOTECAS POST-COVID? 😱,"Apr 8, 2021",1,3,654,128.7527,3,19738,2.51
0Caz6tkXapg,NUESTRA OPINIÓN SOBRE LOS NARCOS | Lo Que Nadie Te Dijo #19,"Feb 17, 2020",1,1,771,210.7242,1,10288,4.63
0HYbNU3M2Xk,A veces nos da miedo ser sinceros con nuestros amigos #Shorts,"Jan 13, 2022",1,3,1776,9.5819,3,5091,1.61
1fCzwzJ_sb0,"¿CONSUMIMOS CONTENIDO, O EL A NOSOTROS? | Lo Que Nadie Te Dijo #12","Dec 30, 2019",1,0,372,78.8845,0,6739,3.44
4imzjteziuw,¡HABLAR CON MUERTOS Y EL SEXTO SENTIDO!,"Mar 8, 2021",1,1,1076,245.2632,1,21140,3.51
78rOnmHZZo0,¿QUEREMOS UN SUGAR?,"Jun 1, 2020",1,0,1152,261.6327,0,18380,4.03
91lKp9b6WgY,MATERIAL DE APOYO - CONVIVENCIA TENEBROSA,,1,0,37,0.8534,0,36,69.44
B6lsZUumSS4,COMPETITIVIDAD EXCESIVA ft. ARRANQUES DE VICKY 😂,"Jul 27, 2020",1,1,492,113.7775,0,7458,4.09
D7Oe5JlosLY,¡VAMOS AL ÚNICO HOTEL EN FORMA DE GUITARRA DEL MUNDO!,"Mar 4, 2021",1,2,680,77.6378,2,17980,2.56
E4-l5K0TifY,¡LOS SECRETOS DE LA REALEZA!,"Jan 25, 2021",1,3,1338,365.1451,3,21538,3.73
EJmGenALRfA,"VIAJAMOS EN EL TIEMPO: TINDER, REGGAETON, LGBT y más! | Lo Que Nadie Te Dijo #6","Nov 5, 2019",1,3,1056,296.6429,3,25929,2.95
F5_M8CTq-yc,¿EL VIERNES NEGRO ES UN ENGAÑO?,"Nov 23, 2020",1,0,799,212.7365,0,13372,3.5
FVrXyTIi_0c,¿QUIÉN TENDRÁ UN SUGAR EN EL FUTURO? | POWERPOINT PARTY,"Nov 20, 2020",1,0,521,72.7859,0,10609,3.73
FpJgWCXmEuc,"TRÁGAME TIERRA ""P*T4 LEY DE MURPHY""","Nov 30, 2020",1,3,1036,281.6376,3,20006,3.66
FzU2xNqeeLo,¿QUÉ SIGNIFICA LO QUE SOÑAMOS? | Lo Que Nadie Te Dijo #32,"Apr 13, 2020",1,2,623,84.045,2,9201,4.75
GYCKzUD9rbQ,¿CLASE DE S3X0 EN COLEGIOS?,"Jun 15, 2020",1,3,1216,290.0901,3,20350,3.88
Gf0llyzOFus,¿CÓMO C4R4J0 LLEGAMOS HASTA AQUÍ? 😂,"Oct 16, 2020",1,0,255,28.1433,0,5508,3.56
HaIsVe-MUmk,"¿ERES OBSESIVO COMPULSIVO? (AL PARECER, DIANA SI 😂)","Jan 4, 2021",1,0,836,264.0832,0,15011,3.87
HfMv7d3RVF4,¡CASI MATAMOS AL GUATANERO!,,1,0,78,31.6295,0,119,41.18
JVS_1UsDisY,“Tener covid no tiene nada de malo” #shorts,"Jan 6, 2022",1,0,678,3.1788,0,6419,1.39
LNcCc31QzkY,¿UNA PAREJA SOLO POR DÍAS FESTIVOS?,"Dec 21, 2020",1,0,611,163.5129,0,13371,3.04
N2G6QUfOh-c,¿TODOS LOS GOBIERNOS MIENTEN? | NOS VAMOS A COREA DEL NORTE,"Mar 1, 2021",1,3,755,176.8341,3,25418,2.12
NHF_YheXIt4,¿CÓMO CONSEGUIMOS MATCHES EN TINDER? | Lo Que Nadie Te Dijo #23,"Mar 9, 2020",1,2,963,417.2829,2,14221,3.3
NIherC_6ako,¡DIANA Y ARIANNA CHOCARON!,,1,0,115,28.9947,0,196,44.9
Nnicx8pyCRc,SEMANA ANUAL DE LAS BROMAS VOL. 1,"Apr 2, 2022",1,1,685,26.3593,0,12169,3.84
Q50AhhS8mMI,Pollo con Peanut Butter en nuestro episodio de Marketing Engañoso 🤣,"Dec 14, 2021",1,0,245,1.6302,0,5560,1.67
QB39Fd4EkYo,¿QUIERO SER MAMI O MAMÁ? ft. @alepalombizio | Lo Que Nadie Te Dijo #8,"Nov 19, 2019",1,1,748,239.2771,1,16108,2.91
RRgRgv34JBA,EMPRENDER #LikeABoss ft. @alicias.co | Lo Que Nadie Te Dijo #17,"Feb 3, 2020",1,0,366,73.8369,0,9290,2.56
SFPF0blLSn4,¡VISTAZO DEL CUMPLEAÑOS DE ANDREA!,,1,0,59,2.9076,0,69,72.46
TQElzMwQ-FY,¡TODO SOBRE FASTING O AYUNO INTERMITENTE! | Lo Que Nadie Te Dijo #31,"Apr 10, 2020",1,1,332,43.2095,1,7138,3.57
XK7wxxSKwe8,HACKS DE UNIVERSIDAD - COLLEGE HACKS! ft. It's Danny | Lo Que Nadie Te Dijo #20,"Feb 24, 2020",1,0,1102,328.3211,0,15164,3.85
_dI2UB1rdDg,¡ESTO FUE LO QUE PASÓ EL DÍA DEL EVENTO!,,1,0,72,5.3312,0,76,67.11
ajOAOIrf440,¿EXISTE AMISTAD ENTRE HOMBRES Y MUJERES? | Lo Que Nadie Te Dijo - MINI SERIES,"Mar 11, 2020",1,2,555,29.5852,2,8462,5.11
cvqxRJSoWg4,¡PRIMER YOUTUBE LIVE! | Lo Que Nadie Te Dijo,"May 30, 2020",1,2,544,124.2558,2,10157,3.22
dDZKViqWsYE,BACKSTAGE CON ISAIAS LANDAETA,,1,0,66,2.977,0,124,37.9
fcsNFdexZQE,¡CASI INCENDIAMOS LA CASA! | BITÁCORA DE NAVIDARKS,"Dec 4, 2020",1,0,265,20.1193,0,7404,2.65
fes1bbTB3P0,¡NOS REIMOS DE OPINIONES IMPOPULARES!,"May 25, 2020",1,0,856,229.4036,0,11812,4.22
gFeUUSOwUVc,¡NOS VAMOS A JUICIO! 🔥,"Feb 18, 2021",1,0,274,24.8622,0,9626,2.16
guiFV138Efo,SIGUE EL CHISME CON FOODANDULA,,1,0,18,6.5331,0,92,10.87
hCRueql1Zgc,¿LA GENTE VIVE DE PURAS MODAS?,"Apr 1, 2021",1,3,1011,181.7188,3,21734,3.52
kb1y7pXWTtY,NO SABIA QUE TENIA ANSIEDAD | Lo Que Nadie Te Dijo #7,"Nov 12, 2019",1,1,498,138.6076,1,10436,3.3
kfJcZXZXNMo,EXPECTATIVAS VS REALIDAD Y LA SOCIEDAD METICHE | Lo Que Nadie Te Dijo #34,"Apr 20, 2020",1,2,986,204.8496,2,23004,3.28
l3bnan28Rp8,REACCIÓN AL LANZAMIENTO DE SPACEX Y PREJUICIOS CULTURALES,"Jun 12, 2020",1,0,108,16.3823,0,4038,1.66
lHgA4A6q7mI,Cuando tu amiga te pide que la acompañes al baño #Shorts,"Jan 15, 2022",1,1,645,4.4163,1,7317,1.2
p_TzBUMQLaY,¡NO ME DAN LAS CUENTAS! ft. @JULIOFINANCE | Lo Que Nadie Te Dijo #5,"Oct 29, 2019",1,15,702,196.6253,15,15766,2.93
srrWkO8Y2uA,EL AMOR Y LOS REALITY SHOWS | Lo Que Nadie Te Dijo #39,"May 11, 2020",1,0,329,58.0015,0,5817,4.23
xgICbArPWIY,¿CREEMOS EN LA REENCARNACIÓN?,"Oct 12, 2020",1,2,668,182.6967,2,11434,3.73
y3-uJVM8Jck,¡NO ME QUIERO QUEDAR POR FUERA!,"Feb 1, 2021",1,3,1030,291.8158,3,20993,3.33
yo-kW9FgqsE,¡LOS TIPOS DE MAMÁS! | Lo Que Nadie Te Dijo #33,"Apr 17, 2020",1,1,655,99.1654,1,8139,5.77
z3knvjDCnOs,¿TENDRÍAMOS MÁS DE UNA PAREJA? | POLIAMOR,"Sep 7, 2020",1,3,781,204.4366,3,14886,3.69
 -Ek6hF9eDH8,Ataques de celos a distancia #Shorts,"Jan 14, 2022",0,1,309,1.6643,1,7983,1.55
 -TT_ChBl6Jw,¿QUIÉN QUIERE SER MILLONARIO? | LQNTD VERSION 😂,"Sep 4, 2020",0,0,365,59.3987,0,9902,2.8
 -UNW22C9EsA,"SOMOS TÚ, YO Y NICOLAS PEREZ | Lo Que Nadie Te Dijo SPECIAL EDITION","Oct 15, 2019",0,4,565,116.1211,3,8084,4.42
 -_Z5i9LRv3o,¿QUÉ NOS PUEDE ENAMORAR?,"Jun 29, 2020",0,0,608,109.4856,0,8219,4.82
 -gWgj7zGOoA,BATALLA DE STREAMING CON LQNTD,,0,0,37,5.6513,0,66,31.82
 -moOS27QM-c,¿QUÉ BUSCAMOS EN LOS HOMBRES? | Lo Que Nadie Te Dijo #15,"Jan 20, 2020",0,3,929,167.6612,3,14644,4.58
0eT1KcWSOXc,¡NOS PONEMOS CREATIVOS! | Lo Que Nadie Te Dijo #35,"Apr 24, 2020",0,0,256,44.0237,0,6195,2.82
0txND_yNx2U,LQNTD TE ACONSEJA VOL. 1,"Feb 5, 2022",0,0,750,23.5301,0,15005,3.43
1ol-tFYBNV8,¡ASÍ ES NUESTRA VIDA!,"Jan 15, 2021",0,0,230,12.2649,0,7470,2.4
43KSq8SpikQ,UNA CHISMOTECA COMPETITIVA,,0,0,30,6.3865,0,31,54.84
4L7-u6Ugj7o,CUMPLEAÑOS SORPRESA DE ANDREA 😈,"Oct 30, 2020",0,0,328,23.6623,0,5804,3.91
4QNFVVzgylM,¿QUÉ TANTO NOS CONOCEMOS?,"Sep 11, 2020",0,0,816,176.6824,0,13377,3.83
58j8aMaVigM,BITÁCORAS DE CUARENTENA | LQNTD Vlogs,"Mar 20, 2020",0,0,158,14.1603,0,4407,2.59
5mtmY9XbazA,¿QUE PASARIA SI NUNCA MORIMOS?,,0,0,21,5.687,0,27,37.04
6r4ZevfWEXI,DEBATE PRESIDENCIAL 2020 | PARODIA LQNTD,"Nov 6, 2020",0,1,145,13.414,1,5941,1.7
7nLlR9pwsWI,¿POR QUE NOS ODIAN TANTO?,,0,0,50,10.1426,0,48,50
84HHKQgp4EM,¡NO PODRÁS CREERLO! | Lo Que Nadie Te Dijo #38,"May 4, 2020",0,0,390,60.9255,0,7358,3.82
8Vq7E5sNjH4,¡PREGUNTAS RÁPIDAS Y MAKEUP CHALLENGE!,"Aug 21, 2020",0,0,212,33.542,0,6065,2.46
8rgPHEwv9v8,¡CONFESIONES: VERDADERO O FALSO!,"Aug 28, 2020",0,0,178,26.0332,0,4610,2.97
9BHMpalaSZc,ANÉCDOTAS RUMBERAS | ESPECIAL DE EPISODIO #50,"Jul 21, 2020",0,0,259,53.2114,0,5169,3.31
9NajrFSmBMQ,¡QUE PENSAMOS SOBRE EL SEXO!,,0,0,85,18.7461,0,115,42.61
9vbG92YxNY8,¡PREGUNTAS Y RESPUESTAS! | Lo Que Nadie Te Dijo Vlogs,"May 8, 2020",0,1,425,44.5106,1,7825,4.22
AgtvUVIhC0A,¿NOS ENGAÑAN CON PLACEB0S?,"Aug 31, 2020",0,0,403,110.6856,0,7980,3.45
AiWW1QweaFY,"QUE EL 2020 SE VUELVA LEJANO, LITERAL...","Dec 28, 2020",0,1,357,82.8781,1,10108,2.25
AopRzYUZn9w,NUD3S ARTÍSTICOS | Lo Que Nadie Te Dijo #37,"May 1, 2020",0,0,473,48.0365,0,7946,4.54
CAdnLG5r4Sg,¡NUESTRO PRIMER ANIVERSARIO!,"Sep 25, 2020",0,0,236,26.3122,0,6280,2.44
Cygjp1DsuPA,¿QUIÉN ES EL ASESINO? + EXTRA CHISMOTECA,"Oct 2, 2020",0,3,140,10.3201,3,5571,1.76
DMA8iGC-X2Y,¿INSTAGRAM NOS ESCUCHA?,"Aug 3, 2020",0,1,556,125.285,1,11255,3.23
DrvBDMuVV3M,¡SE NOS METIERON EN EL APARTAMENTO!,"Oct 26, 2020",0,1,669,146.683,1,12227,3.85
EQmXMVYktdI,¡CAZAMOS PRODUCTOS A 1 CENTAVO!,"Aug 7, 2020",0,1,229,34.6229,1,5329,3.08
FLL9otRpgPo,¡REENCUENTRO Y CHALLENGE! | LQNTD Vlogs,"May 22, 2020",0,0,228,29.4742,0,5307,3.11
FO4hAFbzriY,TEORÍAS CONSPIRATIVAS 3.0 🔥,"Jan 9, 2021",0,0,498,66.8485,0,9608,3.59
FSKvaL3NYsU,CUMPLEAÑOS DE VICKY | INTENTO DE VLOG 😂,,0,0,34,2.2056,0,28,85.71
FeRj_0G0SgM,¿QUÉ TIPO DE AMIGO ERES?,"Jun 22, 2020",0,2,1667,443.7052,2,24530,4.26
Fn_dr5UhnYg,QUE ES MONTAR CACHOS?,,0,0,23,4.2081,0,21,52.38
G5-OPDJUTJs,NAVIDARKS CULTURAL | Lo Que Nadie Te Dijo #11,"Dec 23, 2019",0,0,372,84.2968,0,10120,2.77
G9v25y7EbcI,¡LA CUARENTENA NOS TIENE DEMENTES! | LQNTD Vlog #3,"Mar 22, 2020",0,0,110,19.2036,0,3767,1.86
GEXHhCI6QG4,¡SI ME HACES UN FAVOR HAZLO BIEN! | CHISMOTECA,,0,0,11,2.3487,0,14,28.57
H-tz9eCDpQU,ARREBATADO DANDO VUELTA EN LA JEEPETA FT. CHRIS ANDRADE,,0,0,29,8.9456,0,38,42.11
JAK23o1-8Po,¡DETRÁS DE CÁMARA! ft. @VOMBAGRAM,"Jun 8, 2020",0,0,105,28.1339,0,4696,1.53
Jngg1zi5jGs,INTERROGATORIO INCOMODO PT. 1 🔥,"Jan 22, 2021",0,0,326,42.8158,0,8559,2.65
JsbMb1FEJkc,HABLEMOS DE INTERCAMBIOS Y ÉTICA NAVIDEÑA,"Dec 14, 2020",0,1,561,156.9429,1,12188,2.97
KI78aU15ElY,¡HABLEMOS DEL QUÉ DIRÁN! ft. @ALBANYARRAN | Lo Que Nadie Te Dijo #30,"Apr 6, 2020",0,0,420,95.6671,0,10787,2.71
KUai3Ew5hhA,"En la chismoteca, esta nuestra opinión y episodio completo","Jan 17, 2022",0,1,650,2.7862,1,7959,1.43
KaOT5ClxyqU,MOMENTO CULTURAL + DIANA Y SU MALETA,,0,0,20,4.6543,0,21,52.38
KnkPEXqYHx0,¡VENDEREMOS EL CANAL! (NOS OBLIGARON),"Jan 28, 2021",0,0,131,6.3226,0,7674,1.13
Kz-iQ7XdXcI,FETICHES RAROS & ALGO MAS,,0,0,27,5.1917,0,31,41.94
MMVHFGsph9s,NI UNA DIETA MÁS CON @COACHJUANBOLIVAR | Lo Que Nadie Te Dijo #26,"Mar 23, 2020",0,0,208,37.3331,0,6830,2.23
Mxb3QGPlfxk,¡TERMINARON EN SAN VALENTIN! | ¿CELEBRAR EL 14F?,"Feb 15, 2021",0,0,493,169.4863,0,13961,1.98
NHlSmbiRfhw,¡NUESTRO INTERCAMBIO NAVIDEÑO! + GIVEAWAY,"Dec 25, 2020",0,0,191,22.5564,0,6495,2.16
NVzAf8VqoBQ,¡COMPRAMOS TODO ESTO CON $5!,"Jun 19, 2020",0,0,309,40.6135,0,5768,3.94
NoK7UHjLCOo,TENEMOS 25 DIAS CON COVID,,0,0,30,10.5538,0,38,39.47
O6vqQMHttiM,¿QUÉ HAY EN MI BOCA? ft. @FOODANDULA,"Jun 26, 2020",0,1,144,19.13,1,4746,2
OFwvwTOtuds,LOS 15CS DE DIANA Y ARIANNA 🔥,"Oct 9, 2020",0,0,404,42.0473,0,6572,4.34
OKedlSeyjWg,¡COMPRAMOS TODO ESTO POR $10!,"Jul 17, 2020",0,0,353,59.5769,0,6530,4.04
OQp6xp7Qk4Q,CUANDO EL AUDIO SE TE POTEA...,,0,0,16,1.0897,0,17,41.18
P7REzP5-vWQ,¿BAJARLE 2 AL RADICALISMO?,"Jul 6, 2020",0,0,180,40.7383,0,4167,2.93
PESQcRPf_QI,NOS HICIMOS EL TEST DEL COVID-19,"Jul 31, 2020",0,0,137,21.1049,0,4724,2.22
PET5iepw520,ENTRAMOS A OMEGLE Y ESTO PASÓ...,"Nov 13, 2020",0,0,210,15.6558,0,6409,2.53
PgeOkY-XiP8,¡LO TRENDING DE 2019! | Lo Que Nadie Te Dijo #14,"Jan 13, 2020",0,0,308,81.6143,0,5721,3.02
Q7Sq3fVs3Fk,NUNCA ES TARDE PARA EMPEZAR! FT. @YOUCANVFIT | LQNTD #27,"Mar 25, 2020",0,0,153,39.8026,0,4972,2.13
QK4qjI8Ok2w,NO SEAS UNA F*CKING ENVIDIOSA,,0,0,36,7.776,0,43,46.51
QztUXGpeuHw,¡PRESENTAMOS NUESTRO YOUTUBE TIER!,"Jun 28, 2020",0,1,93,1.6704,1,4190,0.62
ROOsKlJ8MIU,Cómo buscar un buen regalo navideño #Shorts #Podcast #YoutubeShorts,"Dec 22, 2021",0,4,831,8.41,4,6991,1.12
RPzp4h3xyOM,¡DEJEMOS LAS QUEJAS! | Lo Que Nadie Te Dijo #40,"May 15, 2020",0,0,247,28.8121,0,5939,2.9
Rb01Wzu1ct4,¡GENTE QUE TE VUELVE DEMENTE! | Lo Que Nadie Te Dijo #13,"Jan 6, 2020",0,0,343,75.0731,0,5692,4.37
SILPqy7QmYU,YA BASTA DE ESTAS CANCIONES!!,,0,0,81,16.7388,0,169,31.95
SfF5jTDUuAY,SE NOS METIERON AL APARTAMENTO! | CHISMOTECA,,0,0,12,2.5776,0,23,26.09
TZsHIHXIGiI,EL MISTERIO DE LOS NUD3S,,0,0,37,4.3296,0,264,7.58
TeWUtZS5abc,¡CASI QUEMAMOS LA COCINA! ft. @FOODIE.JUDI,"Jul 10, 2020",0,0,158,19.2348,0,4787,2.44
U78K70_GuTE,LQNTD AL EXTREMO | CHISMOTECA,,0,0,35,6.3006,0,39,53.85
UlUCt49Nxnk,¡NO JUEGUEN CON LO PARANORMAL!,,0,0,29,2.9838,0,52,26.92
V1p-t1poJKE,¡VIVIR DE LAS REDES Y LIDIAR CON HATE! ft. @Oscar Alejandro,"Apr 5, 2021",0,2,437,103.935,2,19965,1.59
VQyhrqh_0t8,NOS FUIMOS EN LANCHA! *HARDCORE*,,0,0,77,5.1053,0,84,52.38
VVAHhQ6yG3E,¿TUVO S3X0 CON UN UBER DRIVER? | CONFESIONES,"Dec 7, 2020",0,7,1932,363.37,4,32442,4.13
VZxtv2aJ8lg,LOS HOLIDAYS DE LQNTD - MINI VLOG,,0,0,32,2.315,0,45,44.44
VmTWRRzuFzE,¡EXPERIENCIAS CON CIRUGÍAS PLÁSTICAS!,"Aug 24, 2020",0,3,1206,277.0438,3,20461,4.03
W6G8l7-9GUY,"""TIENES QUE LLAMAR A TU EX"" | MORIRÁS DE RISA 😂","Jul 24, 2020",0,0,183,27.0915,0,5080,2.76
WGDqBkXbJNk,¡ES MOMENTO DE CHISMEAR!,"Jan 18, 2021",0,0,266,21.1862,0,8551,2.2
WYaKtSMwgIA,BIG DICK ENERGY - CHISMOTECA,,0,0,21,3.388,0,19,47.37
WgcV7oxZ6DE,¡HABLEMOS SOBRE MENTES CRIMINALES! | Lo Que Nadie Te Dijo #36,"Apr 27, 2020",0,1,263,45.5411,1,4815,3.82
XNLODbCn4Nk,MICHELLE LEWIN VS SASCHA FITNESS!,,0,0,39,6.8798,0,63,34.92
XP-x05QkdRI,¡ENTRE BORRACHERA Y CUENTOS DE UBER!,,0,0,54,13.9271,0,67,49.25
YAq0dkIpgl0,NUESTROS VIAJES DURANTE EL COVID,,0,0,26,5.9451,0,27,44.44
YVmGZtWOvtw,QUE HACEMOS CUANDO ESTAMOS SOLOS?,,0,0,30,4.6028,0,38,44.74
YqTrzLBdeV8,GRADUACIÓN DE VICKY ft. RUMBITA,"Dec 18, 2020",0,0,314,19.6434,0,6962,3.27
ZLIJDOwYFtg,Te hace feliz ahorrar o gastar? #shorts #finanzas #youtubeshorts #podcast,"Dec 28, 2021",0,1,720,2.9179,1,6456,0.64
_bJSDfWNkcY,"ERES BELLA, FIRMA AQUÍ | Lo Que Nadie Te Dijo #10","Dec 16, 2019",0,1,604,109.5318,1,7619,5.43
bgz_V9JdboE,EL CARRO SE POTEO,,0,0,26,3.4425,0,29,37.93
cp2L_uWnLbY,¡KAREN SOMOS TODOS!,,0,0,23,5.0431,0,20,50
eVZ5h4MMhqw,¡SOY UN IMPOSTOR! | Lo Que Nadie Te Dijo #21,"Mar 2, 2020",0,0,319,96.4296,0,5174,4.16
fRtw31OpdB0,TRAGOS Y CANCEL CULTURE CON @FOODANDULA,"Aug 14, 2020",0,0,187,22.2579,0,6078,2.06
fk23ZfJFWUg,¿QUIÉN GANA ESTE AÑO? | ELECCIONES EN EEUU,"Nov 2, 2020",0,0,132,29.4939,0,6137,1.34
g8C6j2VR2cA,¿QUIÉN ES MAS PROBABLE QUÉ?,"Feb 11, 2021",0,0,355,33.8807,0,10586,2.43
gsw2EdMSxDM,LA BOTELLITA: RETOS PICANTES 🔥,"Jan 1, 2021",0,0,344,37.4048,0,8879,2.95
hGm_NO-PqDA,Marketing Engañoso 🤣 nuestras opiniones en el último episodio #Shorts #Podcast #LQNTD,"Dec 14, 2021",0,0,213,0.8671,0,5254,1.22
huO3fQ01fZI,¿QUÉ VEMOS CUANDO NO ESTAMOS JUNTAS?,,0,0,27,5.0475,0,42,40.48
hubembnVOeQ,¿CÓMO HACER DINERO EN 2022? ft. @JulioFinance,,0,0,4,1.0391,0,0,
iB7VI2eWsao,RECREAMOS EUPHORIA + BACKSTAGE (MORIRÁN DE RISA) 🎃,"Oct 23, 2020",0,0,126,13.9213,0,4896,1.92
jpnthLdA8ro,CHISMOTECA PRE-LIVE,,0,0,14,2.1189,0,20,40
kX7zqZsLpB8,POR QUE AHORA? - LE CREEMOS A NATH CAMPOS?,,0,0,27,7.9486,0,33,36.36
lxCjfCT8tRc,¡COSAS QUE NO SABIAS SOBRE TU CUERPO!,,0,0,19,4.1313,0,30,50
mSkkVnScXC4,TENÍAMOS TIEMPO SIN HABLAR DE TODITO,,0,0,60,11.4397,0,71,50.7
mYyA1Bt0LBA,¿LAS MUJERES SABEN DE DEPORTES?,"Jul 3, 2020",0,0,160,23.7888,0,4222,2.68
metQz_g4E1c,¡PROBAMOS TIKTOK HACKS!,"Dec 11, 2020",0,1,243,16.6005,1,7151,2.48
nL-ELQRvdO0,¡NOS PRESENTAMOS DE NUEVO! | TERCERA TEMPORADA,"Aug 16, 2020",0,0,57,0.5079,0,5197,0.69
nWQ3-Tvx0yo,MOMENTOS TRAGAME TIERRA | CHISMOTECA,,0,0,40,5.8771,0,33,75.76
oNfBrpy9uag,LOS 15CS DE DIANA,,0,0,30,3.6974,0,417,3.36
pCc0j7rxeUM,¿QUIEN ERES EN LA CENA NAVIDEÑA?,,0,0,30,5.4649,0,45,40
r8FGbNjLTYc,¿LE CREEMOS A AN0NYM0US? | TEORÍAS CONSPIRATIVAS 2.0,"Jun 5, 2020",0,0,246,41.886,0,5103,3.72
rCX-LVKPB-k,CHISMOTECA VARIADITA,,0,0,37,5.0362,0,40,57.5
s1VyjuYNV_c,¡AQUÍ NOS LLEVÓ A COMER EL SUGAR!,"Mar 11, 2021",0,0,445,36.9842,-1,13624,2.22
sP1CczHUC9E,UN DIA CON NOSOTRAS EN MIAMI,"Nov 27, 2020",0,1,535,76.8753,1,10840,3.73
tAI5QQk97tY,CAOS EN MIAMI- PRIMER VLOG | LQNTD Vlogs,"Mar 16, 2020",0,0,183,22.1847,0,3240,4.01
tf3nyrJSGAI,PELIGRO! Abuelos al Volante 🤣 #Shorts #youtubeshorts #podcast,"Dec 24, 2021",0,2,676,3.3197,2,5526,0.94
uM4kZKMWGXc,IT'S CORONA TIME: ¿ARMA BIOLÓGICA? | Lo Que Nadie Te Dijo #24,"Mar 16, 2020",0,0,115,21.6983,0,3093,2.62
urkSNEH3iiE,#dubai #expo #shorts,"Jan 12, 2022",0,0,125,0.4459,0,4043,0.99
v5BhQVvOMHk,"¡LUCES, CÁMARA Y ACCIÓN! ft. Martina Lavignasse Club 57 | Lo Que Nadie Te Dijo #18","Feb 10, 2020",0,0,364,139.8475,0,7455,2.62
wcgdCuol76k,NO MUESTRES LA CARA! | S3XTING & NUD3S,,0,0,22,6.1729,0,23,47.83
wlCB5SIpv38,VISITAR Y LLEGAR CON LAS MANOS VACÍAS | CHISMOTECA,,0,0,26,5.0533,0,27,48.15
x11nYCFUZos,TRENDS DE NETFLIX PARA MATAR EL OCIO | Lo Que Nadie Te Dijo #29,"Apr 3, 2020",0,0,271,39.0511,0,5892,3.21
y57qQ7EP_hQ,AUNQUE LA FIESTA SEA DE GALA SIEMPRE PONGASE EL SOMBRERO,,0,0,31,5.7721,0,27,59.26
yy2RjY5-R_U,INTERROGATORIO INCOMODO PT. 2 🔥,"Feb 4, 2021",0,0,344,27.3599,0,8695,2.71
z3XFsV6PlGg,Cosas que le molestan a una mujer #Shorts,"Jan 14, 2022",0,0,863,3.6746,0,5808,1.79
zMtwkINzD8g,LO MEJOR Y LO PEOR DEL 2020,,0,0,28,6.7863,0,30,43.33
zvyyyn_LfkM,NOVIOS CON MASCULINIDAD FRAGIL | CHISMOTECA,,0,1,35,6.2989,1,247,8.91
